"Time","AirTran Airways Corporation: FL, #","Alaska Airlines Inc.: AS, #","Allegiant Air: G4, #","American Airlines Inc.: AA, #","Comair Inc.: OH (1), #","Continental Air Lines Inc.: CO, #","Delta Air Lines Inc.: DL, #","Endeavor Air Inc.: 9E, #","Envoy Air: MQ, #","ExpressJet Airlines Inc.: XE, #","ExpressJet Airlines LLC: EV, #","Frontier Airlines Inc.: F9, #","Hawaiian Airlines Inc.: HA, #","Horizon Air: QX, #","JetBlue Airways: B6, #","Mesa Airlines Inc.: YV, #","PSA Airlines Inc.: OH, #","Republic Airline: YX, #","SkyWest Airlines Inc.: OO, #","Southwest Airlines Co.: WN, #","Spirit Air Lines: NK, #","United Air Lines Inc.: UA, #","US Airways Inc.: US (Merged with America West 9/05, #","Virgin America: VX, #"
"09/21/2019",,669,80,2179,,,2165,434,721,,305,387,218,,683,550,693,729,1894,2997,587,1516,,
"09/22/2019",,727,310,2671,,,2799,683,948,,394,421,235,,846,654,801,890,2294,3719,588,1744,,
"09/23/2019",,734,242,2743,,,2995,809,962,,401,415,231,,856,662,818,996,2399,3781,591,1799,,
"09/24/2019",,708,20,2517,,,2895,791,909,,402,385,227,,754,643,802,966,2349,3777,432,1753,,
"09/25/2019",,716,50,2591,,,2920,796,923,,402,387,226,,758,649,806,966,2374,3777,429,1784,,
"09/26/2019",,746,304,2740,,,2997,808,960,,402,424,229,,847,662,821,996,2413,3777,586,1805,,
"09/27/2019",,751,246,2748,,,2996,811,961,,406,418,238,,861,662,820,997,2421,3777,591,1783,,
"09/28/2019",,686,86,2176,,,2161,437,721,,307,385,216,,689,550,694,731,1904,2995,585,1515,,
"09/29/2019",,736,310,2664,,,2804,685,948,,393,421,235,,846,656,802,886,2297,3716,588,1745,,
"09/30/2019",,748,244,2742,,,3003,813,960,,399,416,230,,858,664,822,988,2418,3781,590,1803,,
"10/01/2019",,713,24,2518,,,2954,779,907,,378,387,227,,762,645,802,967,2388,3781,430,1757,,
"10/02/2019",,722,152,2594,,,2974,780,919,,372,390,226,,761,649,800,968,2424,3884,431,1784,,
"10/03/2019",,740,366,2732,,,3024,790,953,,375,423,229,,849,663,815,992,2440,3881,584,1826,,
"10/04/2019",,744,312,2753,,,3025,792,954,,376,421,246,,864,661,822,996,2455,3885,589,1836,,
"10/05/2019",,679,172,2254,,,2181,433,748,,240,391,220,,694,571,689,746,1974,3010,583,1580,,
"10/06/2019",,734,372,2674,,,2817,678,944,,335,422,233,,848,661,801,905,2366,3806,586,1827,,
"10/07/2019",,742,316,2746,,,3029,796,954,,338,421,232,,855,653,820,994,2461,3881,589,1865,,
"10/08/2019",,710,90,2615,,,2971,785,901,,337,389,227,,762,649,802,969,2436,3888,430,1832,,
"10/09/2019",,724,188,2651,,,2982,785,917,,334,392,226,,760,648,803,963,2440,3888,429,1841,,
"10/10/2019",,739,368,2744,,,3026,790,954,,336,431,229,,851,651,817,993,2459,3883,597,1868,,
"10/11/2019",,737,316,2752,,,3027,792,954,,353,427,238,,862,653,820,997,2466,3887,603,1817,,
"10/12/2019",,672,212,2250,,,2187,429,748,,244,398,220,,702,567,689,741,1987,3010,597,1587,,
"10/13/2019",,733,374,2670,,,2827,680,944,,340,430,241,,848,663,802,906,2365,3810,600,1816,,
"10/14/2019",,737,320,2743,,,3026,800,954,,336,426,236,,857,653,822,997,2458,3885,603,1866,,
"10/15/2019",,704,118,2615,,,2972,787,901,,336,392,227,,774,650,802,969,2437,3884,444,1834,,
"10/16/2019",,714,188,2651,,,2979,789,917,,333,396,227,,760,649,802,963,2445,3888,443,1843,,
"10/17/2019",,735,372,2744,,,3026,790,954,,337,432,232,,843,652,819,993,2462,3883,598,1862,,
"10/18/2019",,739,314,2753,,,3020,792,954,,345,426,242,,854,655,820,996,2469,3889,603,1827,,
"10/19/2019",,670,208,2254,,,2176,432,748,,240,398,220,,694,568,689,741,1983,3010,599,1587,,
"10/20/2019",,725,380,2674,,,2812,680,944,,333,430,236,,840,661,805,911,2367,3810,600,1825,,
"10/21/2019",,731,318,2746,,,3027,797,954,,334,425,234,,852,653,820,997,2456,3885,604,1867,,
"10/22/2019",,700,100,2615,,,2972,787,901,,338,395,229,,760,650,802,969,2436,3888,445,1831,,
"10/23/2019",,712,152,2649,,,2982,787,917,,330,396,228,,757,650,803,963,2440,3888,443,1839,,
"10/24/2019",,733,370,2742,,,3026,790,954,,333,431,231,,836,655,819,995,2458,3883,598,1862,,
"10/25/2019",,735,312,2748,,,3027,793,954,,343,426,242,,845,656,820,994,2458,3885,603,1828,,
"10/26/2019",,665,180,2244,,,2077,375,748,,240,397,220,,688,560,693,739,1909,3010,597,1589,,
"10/27/2019",,724,376,2665,,,2525,578,942,,387,430,234,,814,640,803,864,2227,3810,600,1722,,
"10/28/2019",,733,312,2744,,,2547,592,954,,403,424,235,,842,655,822,939,2264,3885,601,1766,,
"10/29/2019",,700,80,2610,,,2512,585,903,,396,396,229,,802,650,801,911,2226,3883,444,1703,,
"10/30/2019",,712,140,2584,,,2475,586,919,,392,398,228,,805,636,803,903,2239,3856,443,1683,,
"10/31/2019",,636,364,2294,,,2117,467,737,,311,429,197,,850,535,687,773,1955,3849,595,1504,,
"12/01/2019",,735,467,2965,,,3210,870,972,,457,420,261,,852,678,872,995,2581,3872,608,1969,,
"12/02/2019",,738,425,2836,,,3009,837,960,,422,408,226,,867,664,862,994,2477,3807,583,1827,,
"12/03/2019",,688,4,2640,,,2804,811,935,,400,400,225,,802,639,849,1003,2323,3830,410,1704,,
"12/04/2019",,689,112,2500,,,2815,824,868,,385,334,228,,802,622,796,995,2374,3828,415,1663,,
"12/05/2019",,698,366,2722,,,2865,824,902,,394,415,229,,847,644,836,1018,2412,3826,568,1674,,
"12/06/2019",,705,358,2742,,,2872,824,906,,399,406,240,,845,645,838,1019,2420,3822,575,1674,,
"12/07/2019",,645,170,2116,,,2008,434,669,,234,364,223,,679,534,595,768,1942,2796,580,1371,,
"12/08/2019",,683,376,2597,,,2621,691,886,,378,414,236,,824,635,741,920,2323,3757,577,1607,,
"12/09/2019",,698,354,2624,,,2859,820,875,,394,401,230,,838,622,815,1015,2409,3816,559,1682,,
"12/10/2019",,673,20,2314,,,2810,816,807,,398,340,229,,785,598,703,999,2353,3830,413,1662,,
"12/11/2019",,684,112,2501,,,2816,824,847,,395,340,228,,789,622,798,1015,2387,3823,425,1658,,
"12/12/2019",,698,366,2724,,,2865,824,902,,394,422,230,,843,643,836,1018,2413,3826,573,1680,,
"12/13/2019",,705,358,2738,,,2872,824,908,,395,414,240,,848,644,838,1021,2414,3822,579,1679,,
"12/14/2019",,653,178,2114,,,2004,435,673,,235,370,226,,699,534,595,764,1948,2796,583,1371,,
"12/15/2019",,689,376,2596,,,2623,690,886,,375,422,240,,825,637,741,933,2317,3762,578,1599,,
"12/16/2019",,703,358,2619,,,2859,822,875,,388,412,234,,841,618,815,1019,2412,3822,564,1675,,
"12/17/2019",,676,24,2296,,,2809,818,798,,390,342,235,,808,603,705,988,2340,3824,416,1655,,
"12/18/2019",,702,126,2622,,,2814,824,921,,391,340,232,,818,627,867,998,2388,3800,433,1683,,
"12/19/2019",,742,412,2684,,,2863,824,942,,382,428,233,,836,608,874,979,2417,3802,596,1737,,
"12/20/2019",,747,414,2747,,,2832,813,952,,386,419,244,,831,614,877,981,2435,3800,606,1727,,
"12/21/2019",,710,346,2501,,,2519,784,907,,348,396,228,,760,582,802,893,2365,3622,608,1609,,
"12/22/2019",,737,416,2653,,,2660,822,933,,373,426,240,,808,613,851,935,2420,3864,606,1692,,
"12/23/2019",,743,412,2677,,,2666,824,934,,377,416,236,,828,615,876,951,2420,3800,608,1734,,
"12/24/2019",,735,288,2172,,,1762,458,757,,253,383,233,,816,488,568,667,1893,3407,601,1464,,
"12/25/2019",,701,213,2136,,,1712,453,660,,265,373,230,,830,514,543,667,1843,3290,597,1540,,
"12/26/2019",,751,412,2677,,,2667,824,931,,354,426,237,,834,620,845,940,2406,3802,606,1729,,
"12/27/2019",,744,416,2705,,,2670,824,932,,355,420,252,,831,614,848,946,2420,3800,606,1730,,
"12/28/2019",,706,352,2484,,,2511,810,885,,338,396,238,,756,580,785,892,2366,3622,610,1598,,
"12/29/2019",,737,418,2652,,,2664,822,933,,349,426,242,,819,616,824,933,2415,3864,606,1681,,
"12/30/2019",,744,412,2677,,,2668,824,932,,346,416,236,,833,614,847,944,2416,3800,608,1728,,
"12/31/2019",,734,320,2374,,,1795,471,812,,253,378,235,,823,556,634,667,1955,3310,602,1489,,
"01/01/2020",,733,136,2465,,,1860,457,860,,305,387,230,,820,594,670,745,1980,3608,608,1656,,
"01/02/2020",,753,412,2679,,,2367,735,934,,364,450,238,,812,616,846,928,2332,3810,606,1730,,
"01/03/2020",,752,416,2695,,,2359,730,934,,361,442,244,,812,614,848,936,2330,3810,606,1727,,
"01/04/2020",,717,329,2501,,,2002,589,888,,347,418,228,,722,575,789,832,2157,2790,610,1605,,
"01/05/2020",,743,420,2645,,,2502,762,940,,381,450,242,,783,606,825,916,2347,3750,606,1714,,
"01/06/2020",,750,412,2651,,,2809,836,931,,346,436,233,,828,604,841,1005,2405,3645,584,1627,,
"01/07/2020",,656,24,2183,,,2721,831,761,,339,409,232,,798,535,698,981,2316,3646,479,1555,,
"01/08/2020",,651,86,2390,,,2752,839,817,,341,364,221,,798,574,802,995,2365,3646,486,1543,,
"01/09/2020",,710,330,2617,,,2839,840,899,,347,430,224,,843,608,829,1013,2438,3650,583,1589,,
"01/10/2020",,714,326,2635,,,2841,835,900,,350,422,233,,840,602,829,1015,2440,3643,588,1597,,
"01/11/2020",,570,198,2042,,,2048,452,639,,260,384,217,,688,486,674,731,1927,2815,596,1306,,
"01/12/2020",,681,335,2515,,,2637,708,881,,349,430,227,,814,598,811,927,2317,3538,592,1537,,
"01/13/2020",,696,322,2563,,,2816,835,878,,350,416,224,,835,591,823,1015,2425,3636,580,1584,,
"01/14/2020",,637,20,2217,,,2725,825,784,,352,362,224,,782,533,704,988,2322,3635,482,1564,,
"01/15/2020",,651,86,2394,,,2761,835,817,,345,351,221,,796,574,803,988,2364,3644,484,1555,,
"01/16/2020",,704,330,2629,,,2827,836,899,,352,422,224,,836,605,828,1008,2428,3648,586,1600,,
"01/17/2020",,706,326,2642,,,2832,835,900,,356,412,233,,845,603,827,1013,2434,3650,588,1586,,
"01/18/2020",,565,206,1998,,,1887,394,625,,242,372,217,,689,427,662,674,1800,2819,596,1231,,
"01/19/2020",,682,336,2367,,,1976,404,859,,323,422,227,,820,567,745,773,1971,3541,592,1461,,
"01/20/2020",,697,324,2533,,,2706,770,856,,359,408,224,,840,583,823,979,2330,3648,580,1588,,
"01/21/2020",,638,20,2214,,,2730,831,784,,350,352,224,,782,540,704,984,2321,3647,482,1566,,
"01/22/2020",,651,86,2399,,,2761,839,817,,348,350,221,,782,576,803,988,2362,3647,484,1557,,
"01/23/2020",,704,330,2627,,,2828,840,899,,356,422,224,,820,608,828,1011,2425,3651,586,1597,,
"01/24/2020",,706,326,2643,,,2831,840,900,,357,414,233,,832,606,827,1013,2430,3652,588,1591,,
"01/25/2020",,565,198,2040,,,2036,462,639,,255,374,217,,665,489,674,729,1924,2824,596,1297,,
"01/26/2020",,682,336,2521,,,2643,716,881,,360,422,227,,804,599,811,925,2316,3542,592,1534,,
"01/27/2020",,697,324,2571,,,2825,842,878,,353,408,224,,826,592,823,1012,2415,3648,580,1591,,
"01/28/2020",,638,20,2214,,,2730,831,784,,349,352,224,,768,541,704,983,2325,3647,482,1563,,
"01/29/2020",,651,96,2401,,,2761,839,817,,346,350,221,,771,578,803,991,2362,3647,485,1556,,
"01/30/2020",,704,332,2630,,,2825,840,899,,354,422,224,,821,608,828,1011,2423,3653,584,1599,,
"01/31/2020",,706,332,2655,,,2830,840,900,,367,414,233,,837,604,827,1014,2429,3640,586,1595,,
"02/01/2020",,566,198,2047,,,1949,398,639,,272,381,217,,672,487,673,723,1833,2825,597,1303,,
"02/02/2020",,683,338,2523,,,2121,443,881,,380,430,227,,808,592,809,845,2068,3529,592,1536,,
"02/03/2020",,697,332,2591,,,2831,854,878,,373,416,224,,834,591,821,1024,2428,3638,583,1593,,
"02/04/2020",,638,24,2235,,,2739,843,776,,363,359,224,,774,534,702,998,2324,3647,486,1559,,
"02/05/2020",,651,118,2410,,,2773,849,817,,364,356,221,,780,572,801,1003,2368,3647,488,1557,,
"02/06/2020",,704,336,2627,,,2839,850,899,,372,428,224,,823,608,826,1022,2430,3651,590,1597,,
"02/07/2020",,706,335,2643,,,2842,851,900,,372,418,233,,839,606,825,1024,2437,3652,592,1591,,
"02/08/2020",,566,201,2044,,,2036,459,639,,269,380,217,,671,489,672,744,1930,2834,600,1297,,
"02/09/2020",,683,342,2523,,,2645,726,881,,375,426,227,,812,599,809,944,2315,3569,596,1535,,
"02/10/2020",,697,334,2573,,,2822,855,876,,371,412,224,,834,594,821,1031,2427,3663,584,1591,,
"02/11/2020",,638,35,2232,,,2732,843,776,,363,356,224,,791,535,702,1000,2327,3656,487,1562,,
"02/12/2020",,653,236,2400,,,2762,852,818,,375,352,221,,814,570,799,1012,2377,3656,488,1566,,
"02/13/2020",,712,412,2642,,,2827,854,893,,434,426,224,,847,604,823,1029,2473,3653,612,1720,,
"02/14/2020",,712,438,2672,,,2838,857,896,,444,418,237,,843,598,824,1030,2474,3657,626,1706,,
"02/15/2020",,621,282,2277,,,1936,403,720,,325,394,217,,756,506,733,733,1898,2872,631,1374,,
"02/16/2020",,693,410,2548,,,2019,428,868,,420,426,227,,832,595,805,816,2045,3572,625,1573,,
"02/17/2020",,707,442,2634,,,2729,796,896,,439,414,230,,847,603,826,995,2424,3661,628,1718,,
"02/18/2020",,666,132,2566,,,2746,856,833,,438,408,224,,826,587,803,1016,2402,3656,619,1705,,
"02/19/2020",,680,254,2586,,,2778,867,843,,439,352,221,,828,583,814,1012,2434,3656,627,1687,,
"02/20/2020",,715,424,2663,,,2832,870,896,,440,426,224,,844,603,825,1020,2480,3656,631,1721,,
"02/21/2020",,712,428,2672,,,2838,870,896,,444,418,233,,851,599,826,1023,2483,3657,632,1711,,
"02/22/2020",,620,282,2282,,,2071,475,719,,341,380,217,,764,521,731,747,2012,2872,637,1440,,
"02/23/2020",,694,430,2567,,,2652,742,869,,443,426,227,,831,599,805,931,2358,3570,631,1661,,
"02/24/2020",,707,424,2661,,,2828,866,896,,441,414,224,,846,603,826,1023,2486,3658,629,1715,,
"02/25/2020",,666,130,2566,,,2747,855,833,,443,356,224,,832,587,803,1013,2401,3653,619,1690,,
"02/26/2020",,680,254,2588,,,2780,863,843,,443,352,221,,840,583,814,1012,2435,3653,630,1677,,
"02/27/2020",,715,432,2663,,,2831,864,896,,441,426,224,,862,603,825,1020,2485,3649,632,1718,,
"02/28/2020",,712,431,2672,,,2836,864,896,,443,418,233,,872,599,826,1023,2486,3654,634,1710,,
"02/29/2020",,621,280,2295,,,2067,470,720,,337,381,219,,754,529,733,747,2016,2865,638,1431,,
"03/01/2020",,695,436,2573,,,2655,740,872,,434,428,227,,845,605,805,928,2362,3570,635,1660,,
"03/02/2020",,707,426,2661,,,2825,883,896,,440,416,224,,864,599,826,1033,2491,3658,633,1715,,
"03/03/2020",,666,138,2565,,,2746,867,833,,436,360,224,,820,586,803,1017,2426,3651,623,1693,,
"03/04/2020",,680,324,2576,,,2777,878,845,,433,356,221,,838,577,813,1014,2449,3651,631,1694,,
"03/05/2020",,714,439,2679,,,2834,877,916,,402,430,224,,864,602,834,1023,2502,3653,635,1800,,
"03/06/2020",,711,455,2715,,,2839,878,922,,396,420,233,,869,611,836,1031,2518,3662,636,1805,,
"03/07/2020",,621,328,2342,,,2064,489,726,,364,384,217,,752,547,749,787,2080,3411,642,1561,,
"03/08/2020",,694,443,2617,,,2651,759,908,,403,428,227,,844,613,817,934,2411,3735,634,1728,,
"03/09/2020",,706,452,2683,,,2825,886,922,,401,416,228,,869,607,836,1029,2518,3896,633,1817,,
"03/10/2020",,666,202,2582,,,2743,867,880,,398,416,226,,848,570,802,1014,2442,3906,627,1800,,
"03/11/2020",,683,360,2623,,,2767,876,888,,403,393,225,,859,573,822,1024,2470,3903,636,1793,,
"03/12/2020",,714,445,2717,,,2975,910,922,,406,433,228,,874,610,836,1051,2548,3904,639,1811,,
"03/13/2020",,711,461,2727,,,3015,920,922,,404,423,237,,878,612,836,1060,2548,3903,640,1803,,
"03/14/2020",,620,362,2324,,,2433,579,726,,371,400,221,,768,547,749,814,2179,3409,643,1559,,
"03/15/2020",,694,449,2625,,,2914,841,906,,410,432,227,,863,610,817,965,2488,3734,641,1735,,
"03/16/2020",,706,449,2683,,,3060,923,922,,402,416,230,,879,607,836,1054,2559,3897,637,1811,,
"03/17/2020",,660,244,2585,,,3037,918,880,,400,412,226,,853,570,802,1044,2484,3902,631,1794,,
"03/18/2020",,679,339,2624,,,3039,927,888,,405,389,225,,862,573,822,1048,2512,3902,637,1788,,
"03/19/2020",,745,444,2717,,,3050,928,922,,404,430,228,,888,614,836,1056,2542,3902,639,1812,,
"03/20/2020",,739,456,2727,,,3054,928,922,,405,422,237,,889,613,836,1058,2549,3897,640,1800,,
"03/21/2020",,693,345,2359,,,2455,586,726,,371,398,218,,777,554,749,821,2162,3404,643,1556,,
"03/22/2020",,737,431,2624,,,2933,843,906,,410,432,226,,862,616,817,966,2479,3735,641,1723,,
"03/23/2020",,741,447,2683,,,3039,929,922,,400,416,230,,807,607,836,1054,2535,3895,637,1807,,
"03/24/2020",,690,245,2584,,,2948,923,880,,396,414,208,,765,568,802,1045,2383,3900,631,1791,,
"03/25/2020",,704,308,2623,,,2727,927,888,,389,393,211,,763,569,822,1050,2375,3900,637,1777,,
"03/26/2020",,728,443,2659,,,2726,928,917,,385,429,210,,800,602,836,949,2398,3900,643,1791,,
"03/27/2020",,719,453,2667,,,2743,928,916,,390,420,221,,806,601,836,918,2301,3895,644,1760,,
"03/28/2020",,673,338,2275,,,2315,580,723,,352,398,204,,716,542,749,726,2018,3398,647,1507,,
"03/29/2020",,658,449,2598,,,2677,782,907,,416,430,216,,787,604,817,799,2167,3729,640,1706,,
"03/30/2020",,640,449,2593,,,2734,849,893,,398,418,148,,792,606,836,840,2195,3891,637,1771,,
"03/31/2020",,586,194,2320,,,2691,851,745,,388,413,146,,756,558,802,816,2062,3896,617,1635,,
"04/01/2020",,405,208,2561,,,1907,588,755,,217,378,77,,621,463,822,716,1736,3896,628,987,,
"04/02/2020",,406,413,2628,,,1346,319,797,,223,441,80,,628,498,836,750,1617,3896,640,974,,
"04/03/2020",,402,417,2629,,,1373,316,796,,225,237,78,,635,496,836,757,1640,3891,642,970,,
"04/04/2020",,332,280,2229,,,1169,231,476,,211,55,103,,245,458,749,635,1464,3389,597,951,,
"04/05/2020",,354,415,2522,,,1366,275,511,,224,186,103,,303,496,817,709,1618,3729,619,965,,
"04/06/2020",,248,421,2478,,,1300,286,705,,224,150,103,,293,497,733,739,1637,3891,612,971,,
"04/07/2020",,363,66,1772,,,1277,286,462,,224,4,36,,246,421,570,636,1435,3896,520,966,,
"04/08/2020",,346,220,1730,,,995,316,384,,166,8,36,,245,365,574,471,1278,3896,53,655,,
"04/09/2020",,220,399,1762,,,972,316,534,,161,118,36,,306,368,578,465,1267,3896,56,592,,
"04/10/2020",,157,401,1756,,,967,316,545,,162,130,36,,304,367,579,457,1274,3891,56,590,,
"04/11/2020",,150,224,1518,,,858,232,465,,162,144,36,,242,345,564,361,1157,3394,56,562,,
"04/12/2020",,152,376,1005,,,962,189,539,,158,116,36,,209,245,573,328,1261,3729,56,557,,
"04/13/2020",,162,372,1041,,,963,192,538,,152,140,36,,162,246,576,330,1261,3898,56,550,,
"04/14/2020",,153,72,971,,,958,192,522,,151,4,36,,135,251,566,356,1190,2714,56,590,,
"04/15/2020",,142,122,957,,,667,192,510,,148,2,36,,97,241,574,348,1239,2716,56,596,,
"04/16/2020",,138,341,1054,,,614,192,517,,147,53,36,,168,254,574,328,1255,2718,56,590,,
"04/17/2020",,142,333,1082,,,613,192,513,,122,78,36,,166,217,577,293,1257,2719,56,534,,
"04/18/2020",,122,110,870,,,588,158,436,,144,31,36,,114,208,568,261,1146,2212,56,486,,
"04/19/2020",,126,56,1029,,,614,128,494,,147,57,36,,178,214,570,248,1231,2656,56,494,,
"04/20/2020",,137,42,1001,,,611,128,484,,150,60,36,,135,232,568,254,1240,2726,56,493,,
"04/21/2020",,129,8,965,,,613,128,456,,119,4,36,,133,202,556,256,1186,2714,56,442,,
"04/22/2020",,139,84,972,,,612,130,460,,120,2,36,,96,220,564,258,1235,2716,56,383,,
"04/23/2020",,138,297,1018,,,586,130,446,,111,53,36,,165,215,568,265,1251,2718,56,376,,
"04/24/2020",,131,54,1034,,,588,130,265,,114,78,36,,165,211,568,291,1253,2719,56,380,,
"04/25/2020",,123,38,850,,,556,122,369,,112,31,36,,112,241,562,242,1130,2212,56,371,,
"04/26/2020",,118,60,993,,,588,120,272,,112,57,36,,177,253,572,271,1245,2656,56,287,,
"04/27/2020",,134,52,997,,,587,120,268,,114,60,36,,147,267,570,278,1252,2726,56,380,,
"04/28/2020",,132,8,962,,,586,120,251,,111,4,36,,146,241,520,278,1170,2714,56,373,,
"04/29/2020",,132,70,991,,,584,120,257,,113,2,36,,119,208,433,256,1220,2716,56,379,,
"04/30/2020",,131,297,985,,,582,119,283,,112,53,36,,194,217,438,263,1237,2718,56,376,,
"05/01/2020",,134,379,1017,,,596,133,304,,133,74,39,,102,239,364,278,1143,2719,63,377,,
"05/02/2020",,121,166,660,,,525,218,120,,133,27,38,,57,207,257,166,706,2212,44,319,,
"05/03/2020",,111,376,962,,,547,248,305,,104,54,38,,125,249,362,224,827,1357,50,335,,
"05/04/2020",,133,375,986,,,549,256,327,,78,125,40,,86,248,344,209,883,1357,65,197,,
"05/05/2020",,132,60,684,,,545,256,162,,72,17,38,,79,210,272,130,742,1357,19,205,,
"05/06/2020",,145,142,737,,,548,256,181,,72,14,38,,50,241,295,132,825,1357,29,203,,
"05/07/2020",,139,362,681,,,548,256,304,,78,119,38,,129,230,274,205,896,1357,51,206,,
"05/08/2020",,138,381,708,,,554,256,360,,82,131,40,,102,236,282,230,938,1357,60,207,,
"05/09/2020",,125,158,580,,,514,230,210,,72,61,38,,58,232,244,189,717,1357,42,210,,
"05/10/2020",,121,369,704,,,551,244,364,,70,112,38,,118,237,282,189,871,1357,48,209,,
"05/11/2020",,126,377,720,,,546,254,364,,76,113,40,,91,236,282,192,888,1357,65,208,,
"05/12/2020",,132,56,561,,,544,254,214,,72,17,38,,76,228,244,152,742,1357,19,206,,
"05/13/2020",,146,166,703,,,540,247,364,,72,11,38,,49,232,282,192,849,1357,29,203,,
"05/14/2020",,146,392,704,,,540,246,364,,78,116,38,,129,237,282,192,878,1357,49,204,,
"05/15/2020",,144,384,714,,,546,244,364,,82,137,40,,103,233,282,190,883,1357,60,207,,
"05/16/2020",,133,240,591,,,508,220,210,,72,61,38,,61,221,244,147,714,1357,42,210,,
"05/17/2020",,139,400,702,,,544,236,364,,70,119,38,,118,217,282,189,868,1383,48,206,,
"05/18/2020",,144,384,712,,,538,246,364,,78,141,40,,94,214,282,192,877,1380,65,204,,
"05/19/2020",,147,76,567,,,536,246,214,,72,17,38,,76,212,244,152,729,1378,19,202,,
"05/20/2020",,161,224,715,,,546,246,364,,72,14,38,,46,216,282,211,872,1400,27,211,,
"05/21/2020",,160,444,705,,,558,248,364,,78,179,46,,127,219,282,214,882,1461,50,236,,
"05/22/2020",,162,462,721,,,569,246,364,,82,183,48,,90,216,284,212,885,1493,56,242,,
"05/23/2020",,145,314,595,,,535,223,210,,72,32,46,,58,212,248,169,715,1468,46,243,,
"05/24/2020",,131,441,723,,,555,234,364,,70,178,46,,118,218,282,213,867,1390,50,239,,
"05/25/2020",,151,468,717,,,564,246,364,,78,182,46,,88,218,284,212,881,1472,65,241,,
"05/26/2020",,146,126,572,,,560,247,214,,72,17,50,,77,210,244,174,736,1417,22,235,,
"05/27/2020",,161,232,723,,,553,245,364,,72,12,46,,49,214,282,214,872,1398,27,233,,
"05/28/2020",,157,456,718,,,553,245,364,,78,180,46,,129,217,282,214,883,1400,50,239,,
"05/29/2020",,157,462,714,,,559,243,364,,82,198,46,,96,216,282,214,886,1414,56,243,,
"05/30/2020",,147,300,586,,,524,220,210,,72,32,46,,61,212,244,169,719,1451,44,245,,
"05/31/2020",,157,471,722,,,557,234,364,,70,190,46,,120,218,282,211,866,1513,50,241,,
"06/01/2020",,196,380,712,,,552,243,383,,78,168,50,,169,199,282,212,898,1470,65,241,,
"06/02/2020",,191,4,574,,,660,289,239,,72,13,46,,130,185,244,182,749,1460,22,239,,
"06/03/2020",,199,81,746,,,689,299,389,,73,10,46,,119,180,281,223,887,1456,27,239,,
"06/04/2020",,203,431,904,,,691,299,406,,89,165,46,,196,159,315,290,857,1470,50,234,,
"06/05/2020",,207,446,945,,,694,299,419,,94,180,50,,183,164,320,312,862,1464,93,234,,
"06/06/2020",,197,294,882,,,698,299,275,,52,136,46,,136,161,302,253,795,1472,44,241,,
"06/07/2020",,201,432,949,,,705,301,419,,51,175,50,,189,158,320,309,863,2060,96,237,,
"06/08/2020",,210,436,946,,,704,302,417,,91,186,50,,165,160,320,310,879,2098,90,238,,
"06/09/2020",,200,6,921,,,703,303,416,,51,68,46,,130,158,290,247,857,1922,22,233,,
"06/10/2020",,210,86,902,,,716,304,270,,72,84,46,,122,158,320,309,848,1942,89,235,,
"06/11/2020",,206,427,945,,,717,308,418,,89,169,46,,238,160,320,312,884,2105,193,235,,
"06/12/2020",,205,441,945,,,725,309,419,,94,177,50,,212,160,320,312,885,2113,203,237,,
"06/13/2020",,203,311,880,,,729,309,275,,52,134,46,,135,158,302,257,822,2005,139,241,,
"06/14/2020",,210,432,947,,,728,303,419,,51,179,50,,242,158,320,313,895,2309,197,239,,
"06/15/2020",,222,436,946,,,726,304,417,,91,187,50,,206,160,320,312,901,2282,183,239,,
"06/16/2020",,219,6,921,,,726,305,416,,51,63,56,,133,158,290,261,876,2068,95,233,,
"06/17/2020",,222,99,902,,,735,305,270,,72,85,56,,127,158,320,331,864,2068,90,241,,
"06/18/2020",,219,430,945,,,737,306,412,,89,204,58,,237,172,326,334,898,2230,203,245,,
"06/19/2020",,223,441,946,,,739,307,411,,94,206,68,,211,173,326,338,903,2254,214,247,,
"06/20/2020",,213,328,881,,,744,306,267,,52,165,54,,151,171,308,285,840,2168,147,255,,
"06/21/2020",,234,436,947,,,740,305,411,,51,200,66,,243,173,326,338,898,2506,210,250,,
"06/22/2020",,246,436,946,,,736,304,409,,91,227,64,,209,174,326,336,905,2566,194,247,,
"06/23/2020",,243,,921,,,736,305,408,,51,120,56,,139,172,296,272,882,2405,97,236,,
"06/24/2020",,246,106,903,,,758,305,262,,72,127,56,,134,172,326,340,868,2406,140,245,,
"06/25/2020",,243,431,947,,,769,305,410,,89,216,58,,243,174,326,342,908,2565,281,253,,
"06/26/2020",,229,443,948,,,775,308,411,,94,246,66,,212,174,326,344,920,2565,281,255,,
"06/27/2020",,220,346,883,,,809,326,267,,52,194,54,,154,171,310,291,862,2464,235,265,,
"06/28/2020",,226,434,949,,,811,333,411,,51,249,80,,242,173,326,344,915,2596,285,261,,
"06/29/2020",,233,440,949,,,806,330,409,,91,265,72,,218,174,326,340,922,2740,266,253,,
"06/30/2020",,227,,922,,,807,334,408,,51,156,70,,142,173,296,276,898,2599,144,242,,
"07/01/2020",,277,219,910,,,861,357,268,,72,165,85,,274,174,326,337,932,2600,475,292,,
"07/02/2020",,254,445,975,,,1181,510,424,,89,322,104,,365,177,330,387,1098,2726,553,297,,
