Entity,Code,Day,total_boosters
Africa,,2022-09-12,49264656
Africa,,2022-09-13,49282664
Africa,,2022-09-14,49285349
Africa,,2022-09-15,49287975
Africa,,2022-09-16,49290546
Africa,,2022-09-17,49290546
Africa,,2022-09-18,49314341
Africa,,2022-09-19,49314491
Africa,,2022-09-20,49317773
Africa,,2022-09-21,49320594
Africa,,2022-09-22,49325930
Africa,,2022-09-23,49329128
Africa,,2022-09-24,49332633
Africa,,2022-09-25,50842833
Africa,,2022-09-26,50868774
Africa,,2022-09-27,50873049
Africa,,2022-09-28,50881215
Africa,,2022-09-29,51127030
Africa,,2022-09-30,51129492
Africa,,2022-10-01,51130552
Africa,,2022-10-02,51865305
Africa,,2022-10-03,51866086
Africa,,2022-10-04,51871526
Africa,,2022-10-05,51874825
Africa,,2022-10-06,51877695
Africa,,2022-10-07,51880235
Africa,,2022-10-08,51882337
Africa,,2022-10-09,52891362
Africa,,2022-10-10,52891427
Africa,,2022-10-11,52894682
Africa,,2022-10-12,52897376
Africa,,2022-10-13,52897376
Africa,,2022-10-14,52902576
Africa,,2022-10-15,52904824
Africa,,2022-10-16,53328912
Africa,,2022-10-17,53329010
Africa,,2022-10-18,53331912
Africa,,2022-10-19,53334234
Africa,,2022-10-20,53336698
Africa,,2022-10-21,53339246
Africa,,2022-10-22,53339246
Africa,,2022-10-23,54000748
Africa,,2022-10-24,54000933
Africa,,2022-10-25,54003211
Africa,,2022-10-26,54005739
Africa,,2022-10-27,54008034
Africa,,2022-10-28,54010246
Africa,,2022-10-29,54011848
Africa,,2022-10-30,54885696
Africa,,2022-10-31,54885696
Africa,,2022-11-01,54889675
Africa,,2022-11-02,54891759
Africa,,2022-11-03,54894027
Africa,,2022-11-04,54896409
Africa,,2022-11-05,54898239
Africa,,2022-11-06,55327333
Africa,,2022-11-07,55327389
Africa,,2022-11-08,55330037
Africa,,2022-11-09,55332038
Africa,,2022-11-10,55334655
Africa,,2022-11-11,55337366
Africa,,2022-11-12,55339510
Africa,,2022-11-13,57177957
Africa,,2022-11-14,57234266
Africa,,2022-11-15,57236586
Africa,,2022-11-16,57239350
Africa,,2022-11-17,57242439
Africa,,2022-11-18,57245227
Africa,,2022-11-19,57247598
Africa,,2022-11-20,58340393
Africa,,2022-11-21,58340498
Africa,,2022-11-22,58342908
Africa,,2022-11-23,58345150
Africa,,2022-11-24,58347848
Africa,,2022-11-25,58350837
Africa,,2022-11-26,58352804
Africa,,2022-11-27,58959329
Africa,,2022-11-28,58959514
Africa,,2022-11-29,58963724
Africa,,2022-11-30,58966740
Africa,,2022-12-01,58969602
Africa,,2022-12-02,58972576
Africa,,2022-12-03,58974506
Africa,,2022-12-04,59347387
Africa,,2022-12-05,59347518
Africa,,2022-12-06,59349508
Africa,,2022-12-07,59352178
Africa,,2022-12-08,59354748
Africa,,2022-12-09,59357466
Africa,,2022-12-10,59359462
Africa,,2022-12-11,61695754
Africa,,2022-12-12,62125395
Africa,,2022-12-13,62127491
Africa,,2022-12-14,62129631
Africa,,2022-12-15,62131914
Africa,,2022-12-16,62133364
Africa,,2022-12-17,62133472
Africa,,2022-12-18,62791137
Africa,,2022-12-19,62791137
Africa,,2022-12-20,62793558
Africa,,2022-12-21,62794883
Africa,,2022-12-22,62796145
Africa,,2022-12-23,62797072
Africa,,2022-12-24,62797478
Africa,,2022-12-25,62807705
Africa,,2022-12-26,62807705
Africa,,2022-12-27,62807705
Africa,,2022-12-28,62807705
Africa,,2022-12-29,62807705
Africa,,2022-12-30,62807705
Africa,,2022-12-31,62807705
Africa,,2023-01-01,63048828
Africa,,2023-01-02,63048828
Africa,,2023-01-03,63095681
Africa,,2023-01-04,63095681
Africa,,2023-01-05,63095681
Africa,,2023-01-06,63095681
Africa,,2023-01-07,63095681
Africa,,2023-01-08,64584717
Africa,,2023-01-09,64584717
Africa,,2023-01-10,64584717
Africa,,2023-01-11,64584717
Africa,,2023-01-12,64584717
Africa,,2023-01-13,64584717
Africa,,2023-01-14,64584717
Africa,,2023-01-15,67525827
Africa,,2023-01-16,67542186
Africa,,2023-01-17,67542394
Africa,,2023-01-18,67542394
Africa,,2023-01-19,67542394
Africa,,2023-01-20,67542394
Africa,,2023-01-21,67542394
Africa,,2023-01-22,67913376
Africa,,2023-01-23,67913376
Africa,,2023-01-24,67913522
Africa,,2023-01-25,67913522
Africa,,2023-01-26,67913522
Africa,,2023-01-27,67913522
Africa,,2023-01-28,67913522
Africa,,2023-01-29,68116247
Africa,,2023-01-30,68116247
Africa,,2023-01-31,68528612
Africa,,2023-02-01,68528612
Africa,,2023-02-02,68528612
Africa,,2023-02-03,68528612
Africa,,2023-02-04,68528612
Africa,,2023-02-05,70995365
Africa,,2023-02-06,70995365
Africa,,2023-02-07,70995628
Africa,,2023-02-08,70995628
Africa,,2023-02-09,70995628
Africa,,2023-02-10,70995628
Africa,,2023-02-11,70995628
Africa,,2023-02-12,71144562
Africa,,2023-02-13,71147466
Africa,,2023-02-14,71148177
Africa,,2023-02-15,71148177
Africa,,2023-02-16,71148177
Africa,,2023-02-17,71148177
Africa,,2023-02-18,71148177
Africa,,2023-02-19,73751404
Africa,,2023-02-20,73751404
Africa,,2023-02-21,74284882
Africa,,2023-02-22,74284882
Africa,,2023-02-23,74285023
Africa,,2023-02-24,74285023
Africa,,2023-02-25,74285023
Africa,,2023-02-26,75361120
Africa,,2023-02-27,75361120
Africa,,2023-02-28,75361536
Africa,,2023-03-01,75361536
Africa,,2023-03-02,75361536
Africa,,2023-03-03,75361536
Africa,,2023-03-04,75361536
Africa,,2023-03-05,75469098
Africa,,2023-03-06,75469098
Africa,,2023-03-07,75469213
Africa,,2023-03-08,75469213
Africa,,2023-03-09,75469213
Africa,,2023-03-10,75469213
Africa,,2023-03-11,75469213
Africa,,2023-03-12,76661544
Africa,,2023-03-13,76661544
Africa,,2023-03-14,76661885
Africa,,2023-03-15,76661885
Africa,,2023-03-16,76661885
Africa,,2023-03-17,76661885
Africa,,2023-03-18,76661885
Africa,,2023-03-19,81821695
Africa,,2023-03-20,81821695
Africa,,2023-03-21,81822016
Africa,,2023-03-22,81822016
Africa,,2023-03-23,81822016
Africa,,2023-03-24,81822016
Africa,,2023-03-25,81822016
Africa,,2023-03-26,82746845
Africa,,2023-03-27,82746845
Africa,,2023-03-28,82747231
Africa,,2023-03-29,82747231
